Date,SKU,daily_sales,rolling_mean_7,rolling_std_7,demand_change,volatility_ratio,forecast_error,ghost_flag,ghost_demand
2022-04-13,JNE3405-KR-XS,10,8.285714285714286,3.946064947695181,0.25,0.4762491603469335,2.0,-1,1
2022-04-14,JNE3405-KR-XS,8,8.285714285714286,3.946064947695181,-0.19999999999999996,0.4762491603469335,-2.0,-1,1
2022-04-18,JNE3405-KR-XS,9,8.285714285714286,1.1126972805283744,0.2857142857142858,0.1342910348907134,2.0,-1,1
2022-04-19,JNE3405-KR-XS,2,7.428571428571429,2.63673679998231,-0.7777777777777778,0.3549452906780603,-7.0,-1,1
2022-04-20,JNE3405-KR-XS,7,7.0,2.3804761428476167,2.5,0.34006797182566356,5.0,-1,1
2022-04-26,JNE3405-KR-XS,11,6.285714285714286,2.5634797778466227,1.75,0.4078262634123299,7.0,-1,1
2022-04-28,JNE3405-KR-XS,12,7.714285714285714,3.6384193323605842,0.09090909090909083,0.47164688935177523,1.0,-1,1
2022-04-29,JNE3405-KR-XS,3,7.714285714285714,3.6384193323605842,-0.75,0.47164688935177523,-9.0,-1,1
2022-04-08,JNE3405-KR-XXL,7,6.857142857142857,3.933978962347216,-0.41666666666666663,0.5737051816769634,-5.0,-1,1
2022-04-10,JNE3405-KR-XXL,12,8.571428571428571,3.408672412985387,1.0,0.397678401785815,6.0,-1,1
2022-04-11,JNE3405-KR-XXL,10,9.571428571428571,2.3704530408864084,-0.16666666666666663,0.24765924705358405,-2.0,-1,1
2022-04-12,JNE3405-KR-XXL,6,9.142857142857142,2.734262327610589,-0.4,0.29905990937273064,-4.0,-1,1
2022-05-01,JNE3405-KR-XXL,13,4.142857142857143,4.413183712037202,1.1666666666666665,1.065250983707018,7.0,-1,1
2022-05-02,JNE3405-KR-XXL,9,5.285714285714286,4.498677054212184,-0.3076923076923077,0.8511009032913234,-4.0,-1,1
2022-05-03,JNE3405-KR-XXL,3,5.428571428571429,4.391550328268397,-0.6666666666666667,0.8089696482918747,-6.0,-1,1
2022-04-07,JNE3405-KR-XXXL,11,7.714285714285714,1.889822365046137,0.5714285714285714,0.24497694149045127,4.0,-1,1
2022-04-08,JNE3405-KR-XXXL,10,8.142857142857142,2.03540097839643,-0.09090909090909094,0.2499614929656941,-1.0,-1,1
2022-04-09,JNE3405-KR-XXXL,7,7.857142857142857,2.03540097839643,-0.30000000000000004,0.25905100064396375,-3.0,-1,1
2022-04-10,JNE3405-KR-XXXL,14,9.142857142857142,2.672612419124245,1.0,0.2923169513695478,7.0,-1,1
2022-04-11,JNE3405-KR-XXXL,13,9.857142857142858,2.9680841985233197,-0.0714285714285714,0.3011099606071524,-1.0,-1,1
2022-04-12,JNE3405-KR-XXXL,10,10.285714285714286,2.690370836538199,-0.23076923076923073,0.2615638059002882,-3.0,-1,1
2022-04-13,JNE3405-KR-XXXL,6,10.142857142857142,2.9113897843110057,-0.4,0.2870384011395526,-4.0,-1,1
2022-04-30,JNE3405-KR-XXXL,11,6.142857142857143,2.609506430251481,0.5714285714285714,0.42480330321249404,4.0,-1,1
2022-05-02,JNE3405-KR-XXXL,2,6.0,2.8284271247461934,-0.8181818181818181,0.4714044422236252,-9.0,-1,1
2022-04-21,JNE3440-KR-N-L,10,5.714285714285714,2.6903708365381958,1.5,0.4708148140015918,6.0,-1,1
2022-04-10,JNE3440-KR-N-M,9,4.142857142857143,2.609506430251477,2.0,0.6298807104343229,6.0,-1,1
